industry_en,avg_rs_raw,n_stocks,leaders_80plus,group_rs_rating,leader_pct,industry_ko
Finance/Rental/Leasing,-9.748454662619219,24,2,61,8.3,금융/렌탈/리스
Electronic production equipment,-10.055632849367381,71,17,60,23.9,전자 생산 장비
Chemicals: major diversified,-10.173396123728919,28,6,59,21.4,화학: 주요 복합
Investment banks/Brokers,-10.338287123270756,23,1,58,4.3,투자은행/중개사
Real estate investment trusts,-10.531280979666274,25,3,56,12.0,부동산 투자 신탁
Home furnishings,-10.624217056160358,16,2,55,12.5,가정용 가구
Textiles,-10.644983954881974,28,5,54,17.9,텍스타일
Auto parts: OEM,-10.665618315951516,95,15,53,15.8,자동차 부품: OEM
Major telecommunications,-10.70718170126481,7,1,52,14.3,주요 통신사
Forest products,-10.9086844350523,8,1,51,12.5,임산물
Chemicals: agricultural,-11.122105102850565,8,0,49,0.0,화학: 농업
Metal fabrication,-11.607721762929192,36,7,48,19.4,금속 가공
Air freight/Couriers,-11.786892248090577,10,0,47,0.0,항공/운수
Containers/Packaging,-12.055775393833008,21,3,46,14.3,컨테이너/패키징
Internet retail,-12.136097395576886,5,2,45,40.0,인터넷 소매
Investment managers,-12.346371154382316,21,2,44,9.5,투자 운용사
Other consumer services,-12.438556961624617,13,2,42,15.4,기타 소비자 서비스
Industrial specialties,-13.2681026959353,36,4,41,11.1,산업 분야
Electronics distributors,-13.372328140134828,13,2,40,15.4,전자 부품 유통업체
Food: meat/fish/dairy,-13.401393799092538,15,3,39,20.0,식품: 육류/어류/유제품
Airlines,-13.660570664911612,6,1,38,16.7,에어라인즈
Agricultural commodities/Milling,-13.94734912385345,26,1,36,3.8,농산물/제분
Miscellaneous,-14.188405447282317,7,0,35,0.0,기타 (Miscellaneous)
Pulp & paper,-14.835748075116555,15,1,34,6.7,펄프 및 제지
Hotels/Resorts/Cruise lines,-15.447625944927694,6,1,33,16.7,호텔/리조트/크루즈 라인
Aerospace & defense,-15.865285331759297,19,1,32,5.3,항공우주 및 방위산업
Trucks/Construction/Farm machinery,-15.964860579508906,34,4,31,11.8,트럭/건설/농기계
Advertising/Marketing services,-16.228255719102627,20,2,29,10.0,광고/마케팅 서비스
Pharmaceuticals: major,-16.680209153142552,126,16,28,12.7,의약품: 주요
Beverages: alcoholic,-16.72031928646625,9,0,27,0.0,음료: 알콜류
Medical distributors,-16.82938729418178,16,2,26,12.5,의료 유통업체
Miscellaneous manufacturing,-17.292240595146826,13,3,25,23.1,기타 제조업
Motor vehicles,-17.505114449446314,6,0,23,0.0,자동차
Miscellaneous commercial services,-17.5171024456564,73,13,22,17.8,기타 상업 서비스
Apparel/Footwear,-17.556875535754234,48,8,21,16.7,어패럴/풋웨어
Packaged software,-17.773893046778653,150,25,20,16.7,패키지 소프트웨어
Other metals/Minerals,-18.377736487644885,11,0,19,0.0,기타 금속/광물
Food: major diversified,-19.0784095455035,9,1,18,11.1,식품: 주요 다각화
Building products,-19.495497143116015,13,2,16,15.4,건축 자재
Office equipment/Supplies,-19.904588894019742,6,0,15,0.0,사무용품/소모품
Medical specialties,-20.71359685828242,102,9,14,8.8,의학 전문 분야
Publishing: books/magazines,-20.985499801324444,5,0,13,0.0,출판: 도서/잡지
Pharmaceuticals: other,-21.58944718236813,17,1,12,5.9,의약품: 기타
Recreational products,-21.77757743043576,11,1,10,9.1,레크리에이션 제품
Commercial printing/Forms,-22.020089334607995,5,0,9,0.0,상업 인쇄 / 서식
Biotechnology,-22.67219829135048,61,9,8,14.8,바이오테크놀로지
Broadcasting,-24.553851070726694,8,0,7,0.0,브로드캐스팅
Computer processing hardware,-25.875575247075723,7,0,6,0.0,컴퓨터 프로세싱 하드웨어
Specialty stores,-27.640741630577843,15,1,5,6.7,전문점
Movies/Entertainment,-28.309110047019296,33,3,3,9.1,무비/엔터테인먼트
Data processing services,-39.6831587718626,5,0,2,0.0,데이터 처리 서비스
