industry_en,avg_rs_raw,n_stocks,leaders_80plus,group_rs_rating,leader_pct,industry_ko
Building Products,-21.182556453245073,12,2,18,16.7,Building Products
Miscellaneous Commercial Services,-21.369191095892994,75,13,16,17.3,Miscellaneous Commercial Services
Recreational Products,-22.26606740691853,10,1,15,10.0,Recreational Products
Major Telecommunications,-22.61574325580609,8,0,14,0.0,Major Telecommunications
Advertising/Marketing Services,-22.867339940713546,20,2,13,10.0,Advertising/Marketing Services
Containers/Packaging,-24.85393720003384,22,2,12,9.1,Containers/Packaging
Medical Specialties,-25.47833803677932,103,10,10,9.7,Medical Specialties
Packaged Software,-27.070269925494056,150,16,9,10.7,Packaged Software
Other Metals/Minerals,-28.41743207048528,11,0,8,0.0,Other Metals/Minerals
Publishing: Books/Magazines,-30.826158136390937,5,0,7,0.0,Publishing: Books/Magazines
Commercial Printing/Forms,-35.9039948538149,5,0,6,0.0,Commercial Printing/Forms
Computer Processing Hardware,-38.478860513041056,7,0,5,0.0,Computer Processing Hardware
Movies/Entertainment,-40.77886426191763,30,3,3,10.0,Movies/Entertainment
Data Processing Services,-42.08150899984137,5,0,2,0.0,Data Processing Services
